res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,1.0,5.0,0.5,1.0,0.0,0.3163675010785874,-0.5503397484285303,0.3899355023286679,-0.9957241652283333,0.10651283403500689,-0.0210397725765633,0.3998529193931768,-1.2845854944416497
default,0.0,0.8,40.0,50.0,0.5,0.5,0.5,0.09981458344558448,0.1036733427876555,0.18101188149034056,0.2762440055569366,0.3233445399004471,0.2841855581069714,0.19466054637633834,-0.4600272561039158
default,0.0,0.8,40.0,50.0,0.0,0.5,0.0,0.12254561708364822,0.15034940652390988,0.22722222885299087,0.41847970745814983,0.34116900225393604,0.2988448641996865,0.17334587682901306,-0.2625477526924965
default,0.0,0.8,40.0,50.0,0.0,0.5,0.75,0.1253821064421864,0.15900031557993943,0.20354973126474005,0.3701699444962386,0.3435163586017118,0.3052050046141868,0.15565475401035772,-0.24816151621850915
default,0.0,0.8,1.0,10.0,0.0,0.0,0.5,0.12288903485474635,0.1550088470247,0.14524665216193264,0.21814493068114543,0.3851617887157925,0.340130347699762,0.11969948871331154,-0.18522473854031807
default,0.0,0.8,1.0,5.0,0.5,0.0,0.5,0.08064780301414358,0.061138239381650625,0.12928575899313066,0.09831361035071834,0.3477389171475356,0.3104019636623232,0.16954856169773727,-0.4493598135268935
default,0.0,0.8,5.0,1.0,0.0,0.5,1.0,0.1556386115449301,0.22585932085850624,0.15103457746094862,0.2531208591656975,0.23875544898212084,0.17681715890478747,0.20589723530569023,-0.5522801630687225
default,0.0,0.8,40.0,50.0,0.0,0.75,0.0,0.1015295642883661,0.10071215449317489,0.20873307859137305,0.3477963838611183,0.3013580685689063,0.25059155170688424,0.23862588711314967,-0.5892949241623049
default,0.0,0.8,40.0,50.0,0.0,0.75,0.75,0.11735882762163018,0.14236685074242092,0.20203609527784483,0.3571596378348235,0.3368146460332428,0.28900046240453625,0.18174140247988183,-0.39159953670981645
default,0.0,0.8,10.0,5.0,0.5,0.5,1.0,0.11460453800654125,0.14553655490998182,0.1474888958580774,0.21403200925151322,0.2667161542696628,0.21483077715490426,0.20926426374257082,-0.553153156674305
default,0.0,0.8,5.0,5.0,0.0,1.0,0.0,0.235963997458158,-0.39647513906661885,0.34343111523782255,-0.8423630582549908,0.12511754346311268,0.009044984441989786,0.39606669245896337,-1.2740978835585763
default,0.0,0.8,40.0,50.0,0.5,0.0,1.0,0.12013175382601778,0.14778777867154572,0.18087023891846574,0.306321654064299,0.4041038919051546,0.3585913022392372,0.13671131165245978,-0.11948735579803263
default,0.0,0.8,1.0,10.0,0.5,0.5,1.0,0.10134673483373856,0.10377694940924191,0.1495603387018882,0.2004770763300721,0.2162630561971737,0.1616808317612096,0.21150821544215692,-0.5681541051400328
default,0.0,0.8,10.0,10.0,0.0,0.0,0.0,0.17426820500672785,0.2512203355357054,0.27270243331183125,0.5729180929637427,0.4385591547746238,0.40531008744444913,0.19799600628623595,0.33807093090935203
default,0.0,0.8,10.0,5.0,0.0,0.0,0.5,0.13257744758873757,0.17489379214593,0.16542220728829837,0.28189322558923124,0.38759849430688026,0.3470595604603461,0.12429372437639369,-0.15450045718202873
default,0.0,0.8,20.0,30.0,0.5,1.0,0.5,0.08691237668108523,0.06870259141493981,0.18177414802407274,0.26045722478393846,0.2447918885817534,0.18471364627517867,0.2728966931213909,-0.7585450337136247
default,0.0,0.8,5.0,10.0,0.0,1.0,0.5,0.11921345050372666,0.13910960945348186,0.21450550714849473,0.40476510501255747,0.18698212665908895,0.1162415592692955,0.284609837423242,-0.7776901832537166
default,0.0,0.8,5.0,5.0,0.5,0.0,0.5,0.08675795404369463,0.07629586460781654,0.13374496453878007,0.12630130463749467,0.3585248255800707,0.3164681258506166,0.16259550656972202,-0.39844074286334874
default,0.0,0.8,20.0,30.0,0.75,0.25,0.75,0.09399972472889806,0.09402876484963214,0.16050311752193155,0.2157645734436584,0.33139884557268534,0.28860651105953805,0.17944399661735516,-0.43310101025071734
default,0.0,0.8,1.0,1.0,0.0,0.5,1.0,0.14849079269917545,0.2127616897787164,0.14423538183031923,0.2246818512075488,0.21558026537711134,0.15433995488158828,0.21583857978879203,-0.5997427458500622
default,0.0,0.8,20.0,30.0,0.0,1.0,0.0,0.10982351781935223,-0.11577043435428232,0.17160863087473305,0.012343618296537196,0.17099589240392077,0.08548145633278625,0.3532431169192837,-1.1127475151299202
default,0.0,0.8,40.0,50.0,0.25,0.5,0.0,0.10747927171630116,0.11912333037200672,0.21129756429219154,0.364168914796148,0.3336222040797846,0.2887834507048824,0.1892768059246139,-0.3857593213382261
default,0.0,0.8,0.009,0.005,0.8,1.0,1.0,0.09001660518074171,0.053434859471177924,0.123437159757929,0.05427888505535129,0.16216644783626097,0.11704149514775049,0.1922151029655102,-0.5126995213541914
default,0.0,0.8,10.0,1.0,1.0,1.0,0.5,0.08843730375349705,0.08253398795565202,0.13462074340663352,0.10248999115075752,0.17152084279636237,0.1096934006687087,0.2777528607022691,-0.8132765843366314
default,0.0,0.8,1.0,5.0,0.0,1.0,0.0,0.34464357442274746,-0.6047736645986318,0.40926473512200406,-1.0433075150052553,0.10940101072287893,-0.028820902397021782,0.39906121272379497,-1.2805317492047736
default,0.0,0.8,40.0,50.0,0.0,0.0,0.7,0.1447176229819232,0.19586984206947616,0.2137347568926405,0.40912855614633226,0.40002350810548354,0.36697156370655976,0.1311376778502254,0.09134294623426643
default,0.0,0.8,1.0,1.0,0.0,1.0,0.0,0.29955446895126836,-0.5216318624197698,0.38568783685423763,-0.9713753833666549,0.09788982176813113,-0.024595229875422387,0.39715241988887484,-1.2750956404617364
default,0.0,0.8,0.005,0.005,0.8,1.0,1.0,0.09309926134534607,0.05905292085611563,0.12078635558180288,0.09985473486617297,0.1731786007127361,0.1255751487799858,0.18274747611056333,-0.49476711474170254
default,0.0,0.8,40.0,50.0,0.25,0.5,0.75,0.11538805864937562,0.13986860006579985,0.19334359290664924,0.332557371790615,0.35753758609086544,0.3103441223495054,0.1655962255535436,-0.3141736904899569
default,0.0,0.8,5.0,10.0,0.0,1.0,0.0,0.2634535711570539,-0.4495982217660382,0.3177327840472577,-0.7802060494988384,0.11748154444285118,-0.0026410232755394373,0.395064048443389,-1.2685419508384423
default,0.0,0.8,10.0,1.0,1.0,1.0,0.0,0.15659081963626464,-0.24826084511658802,0.3102262159682347,-0.7426373920466227,0.12480906852251929,0.04166778928970449,0.3815287013804023,-1.2285415142712093
default,0.0,0.8,5.0,1.0,0.5,0.0,0.5,0.07846543280730167,0.053381209552475696,0.12045289024365577,0.052478044295972234,0.32283714222529114,0.28170214006433203,0.18593551412134612,-0.4950630897982427
default,0.0,0.8,1.0,5.0,0.0,0.5,1.0,0.13544982597992586,0.17976496557496366,0.1574885066248987,0.2603920745939152,0.2198502099734849,0.16520784707183295,0.2088855445162453,-0.5659421288809099
default,0.0,0.8,40.0,50.0,0.5,1.0,0.25,0.08528100149130334,0.05815910502293043,0.18122869252680182,0.24815953272837765,0.2659455690904817,0.21437539488897345,0.26722840081938654,-0.7348822263580141
default,0.0,0.8,20.0,30.0,1.0,0.0,0.5,0.09374698382496222,0.09111564200558993,0.1562385217579969,0.19931079336349156,0.38185672876727017,0.3408655933221345,0.14472872404008438,-0.2791730750119407
