PC1_1,PC1_2,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,n_AA
MOFF2 λ,Jain (2017),0.86046449940514,1.134909960354888e-06,0.8511278195488721,1.961529361658419e-06,0.86046449940514,0.8511278195488721,20
MOFF2 λ,Janin (1979),0.633733937088679,0.002697853108027707,0.6732024941275525,0.0011408875055366424,0.633733937088679,0.6732024941275525,20
MOFF2 λ,Kyte-Doolittle (1982),0.7425171602066472,0.00017725991139500342,0.6867973428251181,0.0008234234561348297,0.7425171602066472,0.6867973428251181,20
MOFF2 λ,Meek (1980),0.6653232172927044,0.0013681002262704036,0.6277760870254727,0.0030417312263461243,0.6653232172927044,0.6277760870254727,20
MOFF2 λ,PARCH (2023),0.5818025041287158,0.00712307077589977,0.6077473163900655,0.004475980226711751,0.5818025041287158,0.6077473163900655,20
MOFF2 λ,Ponnuswamy average gain in surrounding hydrophobicity,0.61904416579366,0.003611000336132377,0.643098954843448,0.0022230760605130647,0.61904416579366,0.643098954843448,20
MOFF2 λ,Ponnuswamy surrounding hydrophobicity folded form,0.5836259095243669,0.006902712885998211,0.6155005504629995,0.00386593142470097,0.5836259095243669,0.6155005504629995,20
MOFF2 λ,Rose (1985),0.85842842556668,1.282930448659053e-06,0.8196284772616245,9.770848243591013e-06,0.85842842556668,0.8196284772616245,20
MOFF2 λ,Tanford (1962),0.6295554962298349,0.0029354121499039418,0.7218045112781954,0.0003270659389347304,0.6295554962298349,0.7218045112781954,20
MOFF2 λ,Wimley-White (1996),0.7644186034306736,8.69474056094661e-05,0.8123355219075132,1.356805172738919e-05,0.7644186034306736,0.8123355219075132,20
MOFF2 Gaussian,delta_W*,0.07494500474435062,0.753501988961282,-0.11428571428571428,0.6313917305184382,0.07494500474435062,0.11428571428571428,20
MOFF2 Gaussian,MJ ε,0.08930900066271816,0.7080811647080781,0.051127819548872175,0.8304946161837171,0.08930900066271816,0.051127819548872175,20
MOFF2 Gaussian,HPS-Urry λ,-0.00891034870122739,0.9702593609986278,0.08662915550241401,0.716488614733259,0.00891034870122739,0.08662915550241401,20
MOFF2 Gaussian,Density profile,0.3746300472315489,0.10364727512154136,0.33082706766917286,0.15423604448098624,0.3746300472315489,0.33082706766917286,20
MOFF2 Gaussian,Bandyopadhyay-Mehler (2008),-0.14406938371284703,0.5445234054637171,-0.10977443609022557,0.6450049409876997,0.14406938371284703,0.10977443609022557,20
MOFF2 Gaussian,Biou accessibility information value,0.035896006921989174,0.8805728991248295,0.0015048913214254266,0.9949759951204202,0.035896006921989174,0.0015048913214254266,20
MOFF2 Gaussian,Black-Mould (1991),0.009688177122067657,0.967664400758792,0.019563587178530545,0.9347541480371615,0.009688177122067657,0.019563587178530545,20
MOFF2 Gaussian,Cornette (1987),0.041812824864716845,0.8610575318563678,0.008276902267839848,0.9723728535654657,0.041812824864716845,0.008276902267839848,20
MOFF2 Gaussian,Eisenberg (1984),0.17619486997755973,0.45743687874825056,0.12030075187969923,0.6134176645307821,0.17619486997755973,0.12030075187969923,20
MOFF2 Gaussian,Engelman GES (1986),0.1057157675563387,0.6573461390778064,0.06165413533834586,0.7962393511384775,0.1057157675563387,0.06165413533834586,20
MOFF2 Gaussian,FDewet_C36m (2024),-0.006187159048946574,0.9793464607006896,0.015795412925979423,0.947302546193412,0.006187159048946574,0.015795412925979423,20
MOFF2 Gaussian,FDewet_a03ws (2024),-0.08079895051994317,0.7348873630277839,-0.036869837374922956,0.8773560661749165,0.08079895051994317,0.036869837374922956,20
MOFF2 Gaussian,FDewet_a99SBdisp (2024),-0.03429263742076284,0.8858731781128731,0.08198571471103606,0.7311305600862845,0.03429263742076284,0.08198571471103606,20
MOFF2 Gaussian,Hassanali_nBranch <nbr> (2023),-0.05771499884479381,0.8090197872043232,-0.11428571428571428,0.6313917305184382,0.05771499884479381,0.11428571428571428,20
MOFF2 Gaussian,Hopp-Woods (1981),0.08657816722252579,0.7166488880933427,0.07029576854316127,0.7683802459841081,0.08657816722252579,0.07029576854316127,20
MOFF2 Gaussian,Jain (2017),0.1065361772020765,0.6548444957056918,0.11428571428571428,0.6313917305184382,0.1065361772020765,0.11428571428571428,20
MOFF2 Gaussian,Janin (1979),0.10203183803547727,0.6686223784853202,0.05201676606360708,0.8275894573025973,0.10203183803547727,0.05201676606360708,20
MOFF2 Gaussian,Kyte-Doolittle (1982),-0.00031679764721740723,0.9989423806963381,0.04905695305893701,0.8372705548079279,0.00031679764721740723,0.04905695305893701,20
MOFF2 Gaussian,Meek (1980),0.08484966303373669,0.7220888681192759,0.029356435724212752,0.9022192294425221,0.08484966303373669,0.029356435724212752,20
MOFF2 Gaussian,PARCH (2023),-0.064050129403748,0.7884897481212765,-0.17149305462491948,0.4697166138884892,0.064050129403748,0.17149305462491948,20
MOFF2 Gaussian,Ponnuswamy average gain in surrounding hydrophobicity,-0.03520020281181392,0.8828724402545037,-0.09627680259644603,0.6863748887537229,0.03520020281181392,0.09627680259644603,20
MOFF2 Gaussian,Ponnuswamy surrounding hydrophobicity folded form,-0.04980058461746333,0.8348360745836014,-0.1467269038389791,0.5370454117358413,0.04980058461746333,0.1467269038389791,20
MOFF2 Gaussian,Rose (1985),0.040326081315880655,0.8659543934682348,-0.006037778838023016,0.9798450130731293,0.040326081315880655,0.006037778838023016,20
MOFF2 Gaussian,Tanford (1962),0.1594681636438677,0.5018631723771134,0.10526315789473684,0.6587277693915812,0.1594681636438677,0.10526315789473684,20
MOFF2 Gaussian,Wimley-White (1996),-0.0298340445491541,0.9006358851204619,0.036103800973667256,0.8798863446926044,0.0298340445491541,0.036103800973667256,20
delta_W*,MJ ε,0.8321654147571709,5.363854569721145e-06,0.8616541353383457,1.0555245332264338e-06,0.8321654147571709,0.8616541353383457,20
delta_W*,HPS-Urry λ,0.7229467096325447,0.0003166431434583456,0.7088524811110574,0.00046727425291024987,0.7229467096325447,0.7088524811110574,20
delta_W*,Density profile,0.324069629869164,0.16334116887912595,0.33383458646616543,0.15029922707342816,0.324069629869164,0.33383458646616543,20
